neighbourhood_name,neighbourhood_latitude,neighbourhood_longitude,venue,venue_id,venue_category
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Chick-N-Joy,13055,Fried Chicken Joint
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Pizza Pizza,13145,Fast Food Restaurant
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Shoppers Drug Mart,17035,Drugstore
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Allwyn's Bakery,13002,Bakery
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Dollarama,17034,Discount Store
Fenside-Parkwoods,43.76157411435515,-79.33092248805883,Scotiabank,11045,Bank
Parkwoods-O'Connor Hills,43.7498005205177,-79.3295758580696,Variety Store,17057,Food and Beverage Retail
Parkwoods-O'Connor Hills,43.7498005205177,-79.3295758580696,Underhill Mini-Mart,17029,Convenience Store
East L'Amoreaux,43.79896559855084,-79.30567166872116,The Friendly Thai,13352,Thai Restaurant
East L'Amoreaux,43.79896559855084,-79.30567166872116,Suvaiyakam Restaurant Inc,13049,Diner
East L'Amoreaux,43.79896559855084,-79.30567166872116,Divine Wok Restaurant Inc,13072,Asian Restaurant
East L'Amoreaux,43.79896559855084,-79.30567166872116,Happy Tummy Filipino Cuisine,13145,Fast Food Restaurant
East L'Amoreaux,43.79896559855084,-79.30567166872116,Mainsha East Caribean Restaurant,13097,Caribbean Restaurant
East L'Amoreaux,43.79896559855084,-79.30567166872116,Super Star Conveniences,17029,Convenience Store
East L'Amoreaux,43.79896559855084,-79.30567166872116,Paul Kee Open Kitchen,13049,Diner
East L'Amoreaux,43.79896559855084,-79.30567166872116,St. Aidan Catholic School - Playground,16037,Playground
East L'Amoreaux,43.79896559855084,-79.30567166872116,WIND Mobile,17025,Electronics Store
East L'Amoreaux,43.79896559855084,-79.30567166872116,Tim Hortons,13065,Restaurant
East L'Amoreaux,43.79896559855084,-79.30567166872116,Pharma Grace Drug Mart,17035,Drugstore
East L'Amoreaux,43.79896559855084,-79.30567166872116,L'Amoreaux Sports Centre,18000,Sports and Recreation
